timestamp,event,message
2023-05-01 09:15:23,user_login,"User 'admin' logged in successfully"
2023-05-01 09:16:45,jwt_generated,"Auth token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c"
2023-05-01 09:18:10,page_view,"User 'admin' viewed dashboard"
2023-05-01 09:19:05,setting_checked,"User 'admin' checked system settings"
2023-05-01 09:20:12,db_query,"SELECT * FROM Users WHERE email = 'user@test.com' AND password = 'Passw0rd123!'"
2023-05-01 09:21:30,api_call,"GET /rest/user/preferences HTTP/1.1"
2023-05-01 09:22:34,api_call,"GET /rest/user/whoami HTTP/1.1"
2023-05-01 09:23:50,form_submit,"User 'admin' updated profile settings"
2023-05-01 09:24:45,notification_sent,"Notification: Your profile has been updated"
2023-05-01 09:25:56,payment_processed,"Credit card used: 4111 1111 1111 1111, expiry 12/25"
2023-05-01 09:27:10,page_view,"User 'admin' viewed billing page"
2023-05-01 09:28:44,health_check,"System heartbeat check OK"
2023-05-01 09:30:00,error_log,"Error: NullReferenceException at line 42"
2023-05-01 09:32:18,metrics_report,"Active sessions: 42, Load avg: 0.25"
2023-05-01 09:33:00,cache_clear,"User 'admin' cleared application cache"
2023-05-01 09:35:18,email_sent,"Password reset sent to: attacker@evil.com"
2023-05-01 09:37:22,notification_sent,"Alert: New login from IP 192.168.1.105"
2023-05-01 09:38:40,user_login,"User 'jane_doe' logged in successfully"
2023-05-01 09:40:00,config_update,"DEBUG mode enabled (security risk)"
2023-05-01 09:42:15,api_call,"POST /rest/user/update HTTP/1.1"
2023-05-01 09:43:50,user_logout,"User 'jane_doe' logged out"
2023-05-01 09:45:22,user_logout,"User 'admin' logged out"
